Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,LotArea,Neighborhood,Condition,HouseStyle,YearRemodAdd,SalePrice
27,4,1513,0,791,1971,2,1,1,6,1,18692,Riverside,Excellent,SplitLevel,1972,330861
28,3,2978,2,156,1933,3,1,3,9,1,18758,Suburbs,Good,Colonial,1957,364379
29,5,781,3,6,1986,3,0,3,10,0,12819,OakPark,Poor,SplitLevel,2018,269074
30,7,3455,2,2270,1936,1,1,6,11,0,11861,Riverside,Excellent,1Story,1974,488687
31,5,1460,3,2375,1997,3,1,4,11,1,9002,Meadows,Fair,1Story,2006,352217
32,6,982,1,1271,1948,1,0,1,3,0,17569,Suburbs,Good,Ranch,2021,283709
33,4,3542,3,2024,1971,1,0,6,8,0,15931,Lakeside,Fair,Colonial,2000,474778
34,2,2469,1,1903,2005,3,1,4,11,2,16611,Midtown,Good,Ranch,2013,383786
35,4,3211,2,2135,1982,3,0,3,10,0,11362,Lakeside,Average,SplitLevel,2002,453735
36,3,1547,3,625,2010,1,0,4,9,1,19780,Meadows,Good,1Story,2013,300831
37,7,2195,0,2358,1968,2,0,3,8,1,15730,Lakeside,Good,2Story,1985,424001
38,6,3339,3,676,1979,1,0,4,6,0,16044,Midtown,Good,2Story,1982,437446
39,5,2152,2,866,1978,2,1,4,9,1,10266,Suburbs,Good,1Story,2012,371505
40,4,3262,0,164,2016,1,0,2,4,2,6993,Lakeside,Fair,Ranch,2017,375685
41,10,1492,3,1049,2018,2,0,5,8,0,12192,Suburbs,Excellent,1Story,2020,377731
42,7,2224,1,311,1995,3,0,1,7,2,5966,Downtown,Average,Colonial,2008,360939
43,6,882,2,51,1973,2,0,4,9,1,7013,Riverside,Fair,Colonial,2014,275125
44,9,3772,3,1904,1975,3,1,3,8,0,11139,Meadows,Fair,Ranch,2011,554540
45,10,3336,3,1377,1923,2,1,2,8,0,13626,Hillcrest,Average,SplitLevel,1999,494619
46,1,2716,1,350,1950,3,1,4,9,1,18083,Meadows,Poor,1Story,1987,283966
47,4,2256,1,1254,2004,3,1,4,10,1,12839,OakPark,Good,SplitLevel,2013,357230
48,4,1892,0,2194,2017,3,0,2,7,1,11060,Hillcrest,Poor,2Story,2019,368246
49,4,2078,1,1238,1921,3,0,3,7,0,11572,Midtown,Good,1Story,1922,310392
50,8,1995,1,210,1952,2,0,1,7,1,4427,Downtown,Fair,2Story,1990,339925
51,2,1616,0,2285,2017,2,0,5,11,1,16507,Hillcrest,Excellent,Ranch,2019,317660
52,2,3724,1,864,1953,3,0,2,7,0,4459,Midtown,Poor,Ranch,2010,359728
53,10,2524,2,133,1949,2,1,6,12,0,9648,Hillcrest,Excellent,2Story,2003,416225
54,3,1688,1,292,1927,1,1,5,9,1,6074,Meadows,Average,Ranch,1961,232475
55,9,2811,3,1793,1930,3,0,4,10,2,10204,Downtown,Poor,2Story,2016,502841
56,1,3732,2,2360,1925,1,1,5,10,1,7947,Riverside,Good,1Story,1985,377959
57,6,2272,2,1315,2005,1,0,3,8,1,11444,Riverside,Excellent,1Story,2019,406172
58,2,3764,3,2107,1920,3,1,4,8,0,18988,OakPark,Excellent,Ranch,2000,440398
59,8,3712,0,833,1954,3,0,3,10,1,5978,Downtown,Excellent,2Story,1974,450818
60,7,981,1,464,1979,1,0,4,8,2,10959,Riverside,Good,Ranch,1994,307898
61,8,2857,1,1571,1944,3,0,1,7,1,13137,Hillcrest,Poor,SplitLevel,1982,454773
62,8,1208,3,2206,1981,2,1,5,11,1,12544,Lakeside,Fair,Colonial,2005,405121
63,4,3776,3,178,1960,3,1,6,13,1,6984,Meadows,Poor,2Story,2002,413973
64,8,1008,3,62,2012,1,1,6,9,0,17384,Hillcrest,Average,Colonial,2023,316324
65,7,3261,0,1345,2006,3,1,3,10,2,3176,Suburbs,Fair,SplitLevel,2013,419226
66,2,3714,0,1817,1941,3,1,1,5,1,3838,Hillcrest,Average,SplitLevel,1996,357186
67,3,1600,3,2318,2007,1,0,2,4,2,14535,Lakeside,Good,Colonial,2011,381097
68,8,1645,0,1905,1956,3,0,1,8,1,11802,Riverside,Average,Ranch,1994,412050
69,4,2175,3,436,1950,2,1,5,10,1,2718,Riverside,Average,1Story,2022,338492
70,1,3083,3,1172,2019,1,1,2,5,2,10212,Midtown,Poor,1Story,2021,353910
71,8,736,2,538,1931,2,1,6,12,0,8579,Midtown,Excellent,SplitLevel,1998,286432
72,3,1652,3,1208,2015,2,0,4,7,0,9392,Riverside,Excellent,SplitLevel,2016,330989
73,7,657,2,2197,1935,2,1,6,11,2,14485,OakPark,Poor,2Story,1995,372995
74,9,1943,1,258,2001,2,1,6,12,0,6580,Downtown,Poor,SplitLevel,2016,380227
75,2,998,1,2201,1937,2,1,3,9,2,7063,Riverside,Poor,Ranch,2015,240232
76,1,3427,2,889,1976,2,0,3,6,1,19841,OakPark,Poor,Ranch,1993,389644
77,4,1100,3,375,2004,1,0,1,5,0,6126,Lakeside,Poor,Colonial,2010,259179
78,4,1945,1,2441,1920,2,0,2,7,0,5602,Downtown,Fair,1Story,1965,325495
79,4,3011,2,64,1942,2,0,2,8,2,5724,Suburbs,Good,Ranch,1988,318334
80,9,1507,0,2135,1958,2,0,1,7,1,15968,Suburbs,Good,Ranch,1967,383137
81,2,1919,1,269,1936,2,1,4,9,1,18565,Riverside,Poor,1Story,2019,261977
82,4,2361,3,935,1972,2,1,4,10,0,12241,Riverside,Average,SplitLevel,1995,345321
83,3,3413,3,274,1931,1,0,4,6,1,6263,Downtown,Excellent,Colonial,2002,355020
84,6,3325,3,210,1956,3,1,3,7,2,18626,Lakeside,Fair,Ranch,1984,462322
85,2,2034,2,470,2017,2,0,4,7,2,10763,Downtown,Fair,SplitLevel,2022,319062
86,6,625,1,586,1992,3,1,1,6,0,5006,Lakeside,Good,Ranch,2021,247702
87,6,1244,2,1276,2012,2,0,1,5,0,3630,Suburbs,Average,Ranch,2022,292129
88,7,1718,1,2098,1934,2,1,1,6,2,17945,Hillcrest,Poor,2Story,1984,401350
89,10,824,0,837,1958,1,0,3,7,1,5931,Downtown,Good,Ranch,1980,335304
90,4,2649,2,295,1970,3,0,4,8,1,4551,OakPark,Excellent,Ranch,2006,346822
91,7,3506,3,1185,1934,2,0,3,7,2,17076,OakPark,Poor,Ranch,1947,472041
92,9,922,3,1270,2015,2,0,3,7,0,18727,Suburbs,Excellent,Colonial,2018,402135
93,6,2038,1,967,1933,1,1,2,5,2,7009,Suburbs,Fair,Ranch,1992,314535
94,8,3389,2,1294,1939,2,0,4,10,1,11000,Downtown,Average,Colonial,1948,445642
95,5,2491,3,154,1927,2,1,1,4,2,18615,Riverside,Good,Colonial,1997,397073
96,1,2442,1,1316,1997,2,0,1,7,0,13253,Suburbs,Excellent,2Story,1998,292213
97,4,3498,3,1799,1987,3,0,3,9,1,14694,Riverside,Average,Colonial,1990,476641
98,2,1950,0,2285,2006,2,1,3,7,1,4670,Midtown,Average,SplitLevel,2018,296188
99,3,3037,0,1268,1991,2,1,2,5,1,18662,OakPark,Poor,SplitLevel,2010,373932
100,8,1386,1,563,1939,1,1,1,3,1,6294,Riverside,Fair,2Story,1962,326908
101,10,3913,1,1792,1925,2,1,6,10,1,11336,Meadows,Fair,Colonial,1955,494625
102,8,1394,2,2336,1976,2,1,4,10,0,8543,Midtown,Average,1Story,2017,424061
103,8,2120,0,2113,1935,2,0,2,7,1,18821,Midtown,Good,1Story,1963,430218
104,1,2299,0,1623,1984,2,0,4,7,1,9357,Downtown,Average,1Story,2005,279077
105,3,1163,0,1175,1980,3,0,6,13,1,2172,Suburbs,Poor,SplitLevel,1993,244373
106,10,2761,3,455,2019,2,0,3,6,0,9813,Riverside,Excellent,Ranch,2019,454734
107,2,2647,0,2110,1993,1,0,3,8,0,13561,Lakeside,Excellent,Ranch,1998,354419
108,6,877,0,1599,1980,1,1,3,7,0,13701,Suburbs,Average,2Story,2022,274772
109,2,3760,2,546,1925,2,1,6,10,1,17680,Midtown,Fair,1Story,2016,383958
110,5,1425,0,817,1925,2,1,5,11,2,17512,Hillcrest,Poor,2Story,1961,276914
111,6,3798,0,1359,1954,1,1,4,9,1,14669,OakPark,Fair,Ranch,2017,410190
112,5,3881,0,1738,1930,2,0,5,10,1,5361,Suburbs,Average,SplitLevel,1969,420750
113,8,3068,3,682,2008,2,1,4,7,1,16252,Hillcrest,Poor,1Story,2020,452152
114,3,727,1,2488,2006,2,0,2,5,0,14003,OakPark,Good,Colonial,2007,313205
115,10,1228,3,1519,1967,2,0,5,9,2,14024,Riverside,Average,SplitLevel,1982,432450
116,3,2644,3,2300,1935,2,1,6,12,0,11357,Meadows,Fair,1Story,1952,372570
117,2,2451,1,1823,1931,3,1,6,12,0,19765,Hillcrest,Average,2Story,2022,340217
118,3,3850,2,2083,1948,1,0,2,5,1,2861,OakPark,Excellent,Colonial,1995,383576
119,8,3891,1,353,1928,2,1,6,12,2,15460,Riverside,Excellent,1Story,1944,485646
120,8,2508,2,525,2019,3,0,2,9,2,3815,Suburbs,Excellent,2Story,2021,397765
121,3,1263,2,923,1964,3,1,1,7,0,10993,Midtown,Average,Colonial,1998,301902
122,10,2978,1,701,2004,3,1,5,9,0,4661,Downtown,Excellent,SplitLevel,2010,472344
123,10,2306,0,2039,2000,3,1,6,12,1,10024,Riverside,Average,Ranch,2002,464207
124,7,2583,3,835,1963,3,0,3,9,1,15065,Midtown,Average,Colonial,1998,424076
125,2,1907,1,1910,1935,2,1,2,6,0,3658,Hillcrest,Good,Colonial,1988,282792
126,3,3932,2,2366,2012,2,0,2,8,2,17296,Meadows,Average,Ranch,2012,502805
127,2,2210,3,986,1947,3,1,1,5,1,18216,Meadows,Average,Colonial,1948,336743
128,5,3579,2,1651,1966,1,1,1,4,1,11456,Suburbs,Good,Colonial,1994,409142
129,9,1745,0,527,1932,2,1,3,8,0,8522,Riverside,Excellent,1Story,1937,365718
130,8,2727,3,610,1997,3,0,3,9,0,14876,Hillcrest,Excellent,SplitLevel,2013,453244
131,9,2780,3,2305,1958,2,0,3,8,0,15649,Hillcrest,Poor,Colonial,2018,495714
132,10,2965,1,210,1994,2,0,5,11,0,9936,Downtown,Excellent,1Story,2000,466419
133,1,2406,2,1715,1939,2,0,4,10,0,6524,Lakeside,Excellent,SplitLevel,2023,306044
134,3,2482,2,2237,1965,3,1,5,12,0,10077,Hillcrest,Excellent,SplitLevel,1979,379840
135,5,3758,2,849,2008,3,1,3,10,1,10960,Hillcrest,Poor,Colonial,2020,461606
136,6,3766,1,1189,1925,2,0,3,9,1,17698,Lakeside,Fair,Colonial,1959,449713
137,9,3451,2,562,1933,3,0,2,6,2,9394,Lakeside,Poor,1Story,1985,471898
138,3,621,1,1666,2003,2,1,6,10,1,12524,Hillcrest,Poor,1Story,2023,283827
139,10,1551,0,717,1973,1,0,4,9,0,11485,Downtown,Poor,SplitLevel,2009,338417
140,6,1765,3,2225,1987,2,0,5,11,1,8318,Suburbs,Average,2Story,2016,363002
141,5,3543,1,57,2014,2,1,5,9,0,15287,Riverside,Excellent,SplitLevel,2015,403179
142,3,2555,2,1016,1920,2,1,2,8,1,12801,Hillcrest,Excellent,Colonial,1921,337751
143,5,3277,2,967,1927,3,0,4,10,0,15284,Hillcrest,Poor,SplitLevel,1974,400597
144,3,2558,1,1863,2015,3,1,4,11,2,9156,Lakeside,Excellent,1Story,2023,389643
145,8,2763,2,319,1992,1,0,5,8,2,19585,Midtown,Fair,SplitLevel,2020,443067
146,10,2602,0,2090,1977,1,1,2,7,1,3891,Meadows,Average,1Story,2002,435467
147,5,3944,0,892,1994,1,0,4,8,0,19732,Downtown,Poor,Ranch,1995,436441
148,3,3736,3,1533,1968,2,1,4,7,2,6357,OakPark,Poor,2Story,2002,431098
149,7,2766,1,912,1920,1,1,4,9,2,14428,Lakeside,Fair,Ranch,1964,409958
150,2,731,3,64,1950,1,0,1,3,1,3595,Lakeside,Poor,Ranch,2006,216682
151,4,2810,1,231,1937,3,1,2,8,2,12507,Lakeside,Average,2Story,2021,343184
152,5,849,1,1749,1991,2,0,3,9,2,12444,Riverside,Good,2Story,2010,320044
153,7,1353,3,987,1948,2,0,4,7,2,15522,Riverside,Excellent,Colonial,1965,362909
154,6,3248,0,1842,1967,1,0,1,5,1,3295,Suburbs,Fair,Colonial,2013,393774
155,9,1488,3,855,1962,2,0,2,6,0,17693,Lakeside,Excellent,2Story,1987,426407
156,5,2159,3,2185,2003,2,1,3,8,2,18294,Meadows,Poor,Ranch,2013,410323
157,4,2118,2,1695,1925,3,0,6,11,0,10545,Riverside,Average,2Story,1950,348286
158,4,2645,2,1054,2017,2,1,4,8,1,7546,Midtown,Excellent,Ranch,2018,390917
159,9,3228,0,2146,1924,1,0,1,6,0,9583,Suburbs,Fair,1Story,1951,419656
160,10,3212,3,1998,1922,1,1,1,3,2,11002,Hillcrest,Poor,Colonial,2011,506621
161,7,3902,1,438,1932,3,0,2,7,2,19250,Hillcrest,Average,SplitLevel,1982,494713
162,8,2914,1,925,1958,3,0,6,10,0,15280,Riverside,Good,Colonial,2018,457490
163,1,3208,0,701,1930,2,1,6,11,2,5124,Downtown,Fair,2Story,2018,318639
164,1,904,2,2224,1992,3,0,2,8,0,8788,Midtown,Good,1Story,2011,268033
165,3,2909,1,2321,1969,3,1,4,9,0,18409,OakPark,Poor,1Story,1996,403265
166,10,3749,3,1336,1923,3,1,4,11,0,13659,Riverside,Good,2Story,2010,539675
167,10,3306,3,351,2018,3,1,2,6,0,10780,Midtown,Good,2Story,2023,490878
168,2,621,2,1821,1966,2,0,2,5,0,16122,Meadows,Excellent,Colonial,1998,258794
169,7,1023,0,367,1965,3,0,5,11,1,2404,Hillcrest,Good,Ranch,2014,302274
170,4,2942,1,1559,1941,1,1,3,7,1,6781,Suburbs,Fair,Ranch,1976,360105
171,7,1827,3,315,1966,2,0,6,12,2,8407,Meadows,Poor,2Story,1985,361455
172,10,2156,2,1803,1962,2,0,3,8,2,8581,Meadows,Average,2Story,2023,440291
173,7,1907,2,2011,1993,1,1,4,8,1,13960,Suburbs,Excellent,2Story,2011,401946
174,9,710,3,858,1976,2,0,4,10,0,11923,Lakeside,Average,2Story,2021,363723
175,7,3832,3,302,1977,3,1,5,12,2,18600,Riverside,Excellent,1Story,2000,489749
176,10,3213,0,447,2018,1,1,2,4,2,15094,OakPark,Good,1Story,2018,430467
177,2,1659,1,2091,2015,3,0,4,10,1,17173,Midtown,Average,1Story,2022,356845
178,2,1075,1,1426,1959,2,1,2,8,1,17602,Suburbs,Good,Ranch,1999,260934
179,2,1829,0,471,1922,2,0,6,10,0,18908,Midtown,Excellent,2Story,1964,219804
180,4,3867,3,755,1943,3,1,4,8,2,8465,Meadows,Excellent,Ranch,1992,403935
181,1,3486,1,842,1955,3,0,5,9,2,8126,OakPark,Average,2Story,2013,359179
182,8,2761,2,2445,1969,3,1,5,9,1,13533,Meadows,Excellent,2Story,2021,488840
183,5,3116,0,548,1960,1,0,3,5,0,14232,Midtown,Excellent,Ranch,2013,344578
184,7,1360,3,2201,2008,3,0,5,10,1,11464,Midtown,Fair,SplitLevel,2022,407186
185,10,819,2,39,1982,1,0,4,9,1,18112,Riverside,Good,Ranch,1992,355204
186,4,1796,0,1125,1948,3,1,2,9,2,18230,Suburbs,Excellent,1Story,1982,309274
187,9,3972,2,2220,2016,1,1,5,8,1,5355,Lakeside,Average,1Story,2023,549307
188,2,2398,0,970,1946,3,1,6,13,0,6562,Lakeside,Fair,1Story,2018,328691
189,6,2780,2,2444,1988,1,1,6,10,1,10760,Suburbs,Fair,Ranch,1991,456339
190,3,3473,1,1022,1938,3,1,2,9,1,6658,Hillcrest,Good,Ranch,1995,367603
191,2,3195,0,1650,1985,3,1,6,12,1,17992,OakPark,Excellent,1Story,1990,376748
192,6,859,3,892,1974,1,1,3,7,1,13067,Midtown,Excellent,Ranch,1995,299550
193,1,788,0,1882,1922,1,0,4,9,0,16018,Lakeside,Fair,SplitLevel,1942,248114
194,2,3281,2,1025,1930,2,0,1,7,1,9672,Riverside,Poor,1Story,1930,338368
195,4,2553,0,543,1995,1,1,1,3,1,5951,Riverside,Fair,Ranch,1997,320197
196,2,1022,2,1505,1958,1,1,2,5,0,19383,Downtown,Excellent,2Story,2014,284848
197,6,3559,1,620,1972,3,1,2,6,0,6587,Suburbs,Excellent,Ranch,1994,409013
198,3,1614,2,345,1951,3,1,6,10,1,8732,Lakeside,Good,SplitLevel,1957,287830
199,4,2627,3,461,1950,2,0,5,8,1,12370,Midtown,Good,Colonial,2003,345840
200,8,3755,0,68,1995,1,0,3,6,0,3981,Riverside,Excellent,SplitLevel,2015,433267
201,9,3742,3,1734,2009,2,0,6,10,1,4739,Hillcrest,Poor,Colonial,2023,535197
202,9,1938,3,2402,2001,3,0,3,10,0,3897,Lakeside,Poor,Ranch,2004,497137
203,8,3107,0,1266,2005,3,0,1,5,0,2371,Midtown,Good,SplitLevel,2021,404843
204,5,1283,2,519,2015,2,0,1,6,1,10912,Suburbs,Average,Colonial,2016,292031
205,8,2464,2,227,1983,3,0,3,8,1,5371,Suburbs,Fair,Colonial,1983,406418
206,4,788,3,1490,1969,1,0,1,6,0,12544,Lakeside,Good,SplitLevel,1986,311057
207,2,2941,2,489,1984,3,0,2,7,2,3504,Riverside,Poor,Ranch,2002,345833
208,2,2865,3,32,1967,1,1,5,9,2,9948,Meadows,Average,Colonial,1998,297407
209,4,3600,1,616,1920,2,0,2,7,0,12977,Downtown,Good,SplitLevel,1933,394340
210,7,2615,0,583,2011,2,0,1,5,2,15535,OakPark,Good,1Story,2020,433778
211,2,2670,1,1615,1929,3,0,4,9,0,11557,Hillcrest,Average,Ranch,2018,340325
212,8,1713,1,305,1945,1,0,2,4,0,16731,Meadows,Average,Ranch,1960,312157
213,9,2067,1,1851,1959,2,1,1,4,0,11968,Downtown,Fair,SplitLevel,1977,437036
214,6,2223,0,1224,1953,1,0,4,9,2,10187,Suburbs,Good,1Story,1970,337288
215,2,648,0,910,1936,1,1,3,5,2,10481,Suburbs,Poor,1Story,1961,191747
216,3,976,2,501,1925,2,0,2,8,1,18257,Downtown,Good,Ranch,1947,252506
217,6,1479,1,1126,1955,2,0,1,5,1,18347,Riverside,Excellent,Ranch,1962,358482
218,7,1416,1,2226,2021,1,1,6,10,1,19842,Meadows,Average,Colonial,2023,393283
219,6,2190,2,736,1923,2,0,1,6,0,17456,OakPark,Excellent,2Story,1943,370130
220,5,2785,0,898,1993,2,1,2,6,0,12420,OakPark,Excellent,1Story,2015,371840
221,6,2925,1,2306,1944,2,1,2,8,0,4957,Downtown,Fair,Colonial,1972,437513
222,6,3115,1,534,1963,3,0,3,7,0,6840,Midtown,Poor,Colonial,2018,391485
223,6,897,2,1620,1995,1,1,3,7,0,7161,Riverside,Good,SplitLevel,2000,315149
224,10,3823,2,914,2005,3,0,4,10,1,6172,Midtown,Poor,Colonial,2017,505833
225,10,732,1,2467,1960,3,0,6,10,1,6608,OakPark,Poor,2Story,2004,390864
226,2,3965,2,1829,1921,2,0,2,5,1,10410,Suburbs,Poor,1Story,1970,393235
227,8,3600,3,681,1972,2,1,3,9,0,17711,Lakeside,Fair,Ranch,1976,499641
228,1,1905,2,428,1929,2,0,4,8,0,19925,Suburbs,Average,Colonial,2007,246914
229,8,3485,0,1766,2003,1,1,2,4,0,12849,Lakeside,Fair,Ranch,2020,476585
230,5,3305,2,1218,1950,1,0,4,9,0,3786,OakPark,Poor,Ranch,1961,356463
231,5,3974,3,817,1932,1,0,2,6,0,17517,Suburbs,Average,Ranch,1992,403831
232,2,3229,3,757,1967,2,1,2,8,0,10627,Meadows,Good,SplitLevel,1981,351024
233,5,2911,0,619,2016,3,0,1,7,2,15565,Lakeside,Excellent,1Story,2022,414559
234,9,3414,3,2345,1950,2,1,1,7,0,18452,Midtown,Poor,Ranch,1972,524752
235,3,1467,1,516,1925,2,0,6,12,0,6845,Hillcrest,Average,1Story,1936,225504
236,6,1731,3,50,2020,3,1,1,8,0,6856,Suburbs,Poor,Colonial,2020,336522
237,5,2793,2,1683,1953,2,1,5,11,0,7642,Hillcrest,Good,2Story,2004,420882
238,6,3428,1,201,2015,2,1,3,6,1,11930,Hillcrest,Average,Ranch,2016,420387
239,4,1150,2,1814,2019,2,1,6,12,2,4925,Lakeside,Good,2Story,2022,335030
240,6,3962,0,2110,2021,1,0,3,8,0,19179,Downtown,Fair,2Story,2021,472775
241,1,1621,0,1869,1926,2,0,3,8,1,18551,Riverside,Poor,1Story,1956,266008
242,3,2543,2,1410,1940,2,0,3,6,1,3626,Midtown,Excellent,2Story,1968,352169
243,4,3375,1,1102,2003,2,0,6,9,1,6335,Midtown,Excellent,1Story,2010,396972
244,5,3519,2,1735,1968,2,1,3,7,1,11900,Riverside,Excellent,1Story,1968,481323
245,9,3313,2,2299,2002,3,1,3,7,1,4091,OakPark,Average,SplitLevel,2010,508747
246,5,1371,1,2118,2017,1,0,5,10,1,6585,Downtown,Good,SplitLevel,2019,367939
247,7,2257,3,144,1994,3,0,3,8,2,17588,OakPark,Excellent,SplitLevel,2021,415127
248,9,1341,2,399,1980,1,1,6,9,1,4926,Lakeside,Average,2Story,1999,373116
249,7,3828,2,1522,1953,3,1,4,8,1,3758,Suburbs,Good,2Story,2017,474016
250,9,1822,3,221,1939,1,0,3,8,2,16993,Midtown,Average,2Story,1949,406912
251,8,1962,1,1283,2001,1,0,4,8,0,7524,Midtown,Good,1Story,2005,364950
252,7,2357,3,1570,1920,1,0,6,10,0,12558,Lakeside,Poor,1Story,2000,400063
253,4,1526,2,1278,1936,1,1,5,9,0,4139,Downtown,Average,SplitLevel,1994,286912
254,6,2376,1,1403,1982,2,0,2,8,0,9484,Lakeside,Fair,2Story,1983,371448
255,10,2666,1,504,1966,3,0,4,10,2,3592,Downtown,Poor,1Story,1969,429647
256,7,1106,2,1943,2009,1,0,6,8,1,15791,Suburbs,Excellent,SplitLevel,2018,344398
257,10,3470,1,1715,1933,3,0,3,7,0,18309,Lakeside,Excellent,2Story,1966,546234
258,6,3481,3,1209,1940,1,1,2,7,1,9684,Downtown,Poor,1Story,1954,409521
259,10,3340,3,610,1931,3,0,6,10,1,9574,Meadows,Average,SplitLevel,1990,496874
260,1,1790,2,1280,1974,3,0,1,5,0,6534,Midtown,Average,SplitLevel,2002,293671
261,10,1698,0,1526,1963,1,0,4,9,1,10907,Riverside,Good,Ranch,2004,403233
262,3,3451,0,652,1933,2,1,5,11,0,14443,OakPark,Excellent,1Story,2020,334951
263,3,2578,3,462,1972,2,0,1,6,1,2405,Lakeside,Average,Colonial,2005,332293
264,7,3310,1,1973,1964,3,1,2,6,0,7142,Meadows,Good,2Story,1968,421905
265,8,1913,1,1355,1955,1,0,5,10,1,9700,Suburbs,Good,Ranch,2012,371194
266,6,1086,3,72,1933,2,1,1,4,0,11981,Lakeside,Good,SplitLevel,1979,310578
267,1,3944,1,1861,1962,3,1,6,12,1,5736,Suburbs,Fair,1Story,1983,365058
268,5,2843,2,435,1925,1,1,2,7,0,10332,Lakeside,Fair,1Story,1975,376149
269,4,2472,1,1384,1933,2,0,6,9,1,16987,Midtown,Good,1Story,2000,359346
270,7,2996,3,2082,2019,1,0,6,9,0,14694,OakPark,Excellent,Ranch,2022,456378
271,10,3436,1,1120,1970,2,1,4,8,0,15524,Hillcrest,Excellent,SplitLevel,2015,487872
272,4,1422,1,1190,2007,2,0,6,10,2,19776,OakPark,Poor,SplitLevel,2022,306466
273,10,2937,3,2186,1956,2,0,5,8,0,14480,Midtown,Poor,1Story,1981,516387
274,5,3399,2,599,1927,3,1,2,6,1,16830,Suburbs,Excellent,Colonial,1955,422851
275,9,2192,1,2092,2020,3,1,6,10,1,14699,Riverside,Average,Colonial,2020,487133
276,10,3798,3,923,2001,3,1,5,10,0,11639,Meadows,Fair,1Story,2006,524096
277,3,3610,0,1545,1925,2,1,5,10,0,7273,Hillcrest,Poor,SplitLevel,1984,361716
278,3,1921,0,1233,1982,3,1,1,7,2,9207,Midtown,Excellent,1Story,2014,305631
279,3,2303,3,376,1964,1,0,6,10,1,13822,Hillcrest,Fair,Colonial,1997,302257
280,1,1069,2,1825,1950,3,0,1,7,1,5715,Riverside,Average,Colonial,1986,267659
281,1,2717,2,2106,2022,3,1,4,8,1,8308,OakPark,Excellent,1Story,2022,387861
282,9,2784,0,268,1946,3,0,6,13,0,8736,Riverside,Poor,2Story,1949,432098
283,8,3536,2,155,1931,1,0,2,6,2,4308,Lakeside,Average,Ranch,1980,415808
284,6,669,3,484,1988,1,0,6,8,0,13721,Suburbs,Average,SplitLevel,1993,279428
285,5,3734,3,1562,1970,3,0,4,9,2,9204,Midtown,Good,Colonial,1988,485073
286,6,645,1,504,1925,1,1,5,7,1,8883,OakPark,Fair,Ranch,2007,234562
287,9,1183,1,753,1948,3,1,2,6,0,3782,Meadows,Excellent,1Story,1985,311319
288,4,3572,3,1355,1965,1,0,1,5,2,4287,Lakeside,Average,Ranch,1993,420280
